sector,CBi
Paddy rice,47.18941361200051
Wheat,58.73808336023758
Cereal grains nec,44.28169468057521
"Vegetables, fruit, nuts",112.04612442429071
Oil seeds,39.333205569678825
Crops nec,94.41595242213276
Cattle,81.08604572264628
Meat animals nec,53.28204156139733
Animal products nec,135.68908554836653
Raw milk,51.47992715190511
"Products of forestry, logging and related services (02)",53.3958305839979
Fish and other fishing products; services incidental of fishing (05),50.74876867608335
"Coal, peat",386.659011386811
"Crude petroleum and services related to crude oil extraction, excluding surveying",164.35466276119095
"Natural gas and services related to natural gas extraction, excluding surveying",312.68760221934207
Mining & Quarrying,95.37432653928212
Meat products,41.06797795569766
products of Vegetable oils and fats,102.64437028573093
Dairy products,45.926158487461315
"Other food, beverages, tobacco",46.564118020376775
"Textiles, apparel, furs, leather",35.13703185327883
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials,43.983733953698305
Pulp,218.52180976467898
Paper and paper products,138.2053093218904
Printed matter and recorded media (22),28.667477598764
Coke and Tar,106.23494163617892
Petroleum products,368.7404542221823
Nuclear fuel,64.51898197159844
"Plastics, basic",797.7501507639499
N-fertiliser,100.87766898679904
P- and other fertiliser,109.42149670221613
Chemicals nec,144.33575947770493
Charcoal,48.87421048545599
Biofuels,143.7819651998818
Rubber and plastic products (25),51.388989757515716
"Glass, tiles, ceramics, bricks",86.70689889856037
"Cement, lime and plaster",89.34139394371336
Other non-metallic mineral products,102.40421067597251
Basic iron and steel and of ferro-alloys and first products thereof,116.9372461265172
Precious metals,39.76417617532501
Aluminium and aluminium products,182.62535165717
Other metals and products thereof,102.91848913698175
"Secondary lead for treatment, Re-processing of secondary lead into new lead",104.66822907345282
Foundry work services,52.14839916820162
"Fabricated metal products, except machinery and equipment (28)",131.1681494953189
Machinery and equipment n.e.c. (29),228.71282360226627
Office machinery and computers (30),89.56826254026568
"Electrical machinery, audiovisual, and medical equipment",134.7292142562351
Vehicles and transport equipment,160.953494218697
Furniture; other manufactured goods n.e.c. (36),89.84091842806905
Secondary raw materials,127.4463152715258
Electricity by coal,279.6075460679406
Electricity by gas and petroleum products,457.23736602568033
Electricity by nuclear,0.0
Electricity by hydro,367.4421591885003
Electricity by wind,1195.7385072396041
Transmission and distribution of electricity,11.060972679273418
"Produced gas (Gas works, Blast ovens, etc.)",601.6946050026964
Distribution services of gaseous fuels through mains,439.54417329653944
Steam and hot water supply services,883.8041152802743
"Collected and purified water, distribution services of water (41)",57.21410217415158
Construction work (45),279.7731503582526
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries, fuel stations",36.0154730329535
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",12.34555932082722
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",15.112622554128544
Hotel and restaurant services (55),19.988445783930434
Railway transportation services,39.269256088960866
Other land transportation services,46.3661841651716
Transportation services via pipelines,44.3114391283233
Sea and coastal water transportation services,150.36825015094243
Inland water transportation services,28327.550188678517
Air transport services (62),110.37051230184903
Supporting and auxiliary transport services; travel agency services (63),41.28721425952056
Post and telecommunication services (64),20.406128906064588
"Financial intermediation services, insurances",13.18669667751808
Real estate services (70),19.632107103956947
Renting services of machinery and equipment without operator and of personal and household goods (71),46.8266014750412
Computer and related services (72),70.41162444175751
Research and development services (73),117.48087767620139
Other business services (74),31.1603226454846
Public administration and defence services; compulsory social security services (75),277.8604551334248
Education services (80),133.28489008689172
Health and social work services (85),105.84141567901918
Waste incineration,77.07565785716227
Waste for treatment: biogasification and land application,0.0
Composting and land application,69.21084505723996
Landfill,64.25232339065404
Membership organisation services n.e.c. (91),624.0514607639957
"Recreational, cultural and sporting services (92)",173.10718845314204
Other services (93),23.86930919435873
Private households with employed persons (95),3.2020811100271045
Extra-territorial organizations and bodies,0.0
